,count,mean,std,min,25%,50%,75%,max,cv,null_count,zero_ratio
Flow Duration,3000000.0,1186836.442614,6475071.185296869,0.0,1.0,1.0,120.0,120000000.0,5.455740111110473,92224,0.030741333333333332
Total Fwd Packets,3000000.0,4.341656666666666,221.3200304059878,1.0,2.0,2.0,2.0,99828.0,50.97594014151554,0,0.0
Total Backward Packets,3000000.0,0.09856633333333334,2.4990194929810707,0.0,0.0,0.0,0.0,2561.0,25.35368196335519,2898219,0.966073
Total Length of Fwd Packets,3000000.0,1972.6052456666666,5237.399491268843,0.0,766.0,1032.0,2444.0,176000.0,2.6550672025087025,89254,0.029751333333333334
Total Length of Bwd Packets,3000000.0,10.973905333333333,3860.3294790504106,0.0,0.0,0.0,0.0,4393984.0,351.77353562298856,2911511,0.9705036666666667
Fwd Packet Length Max,3000000.0,603.1197576666667,459.93399053218485,0.0,375.0,516.0,548.0,3573.0,0.7625914831754184,89254,0.029751333333333334
Fwd Packet Length Min,3000000.0,597.4538596666666,462.9059737661452,0.0,330.0,516.0,548.0,2033.0,0.7747978630912794,90765,0.030255
Fwd Packet Length Mean,3000000.0,600.564335094205,461.0135349600892,0.0,349.5,516.0,548.0,2033.0,0.7676338870289502,89254,0.029751333333333334
Fwd Packet Length Std,3000000.0,2.5985093390448366,11.746636917438218,0.0,0.0,0.0,0.0,1338.393331988437,4.520529034248356,2773804,0.9246013333333334
Bwd Packet Length Max,3000000.0,0.7817193333333333,35.97301593653014,0.0,0.0,0.0,0.0,3585.0,46.0178152907126,2911511,0.9705036666666667
Bwd Packet Length Min,3000000.0,0.225873,2.9143048145761714,0.0,0.0,0.0,0.0,884.0,12.902404455927742,2912544,0.970848
Bwd Packet Length Mean,3000000.0,0.36721104084147715,11.128732157600265,0.0,0.0,0.0,0.0,1911.090909090909,30.30609347091603,2911511,0.9705036666666667
Bwd Packet Length Std,3000000.0,0.17562559635377684,11.078515058853904,0.0,0.0,0.0,0.0,1413.9517479230135,63.080298235442044,2998904,0.9996346666666667
Flow Bytes/s,3000000.0,738905705.4058096,901462827.9032862,0.0,12965.45328077904,458000000.0,1032000000.0,2944000000.0,1.219997113715883,170772,0.056924
Flow Packets/s,3000000.0,1112076.587546886,921614.8018256902,0.0,37.69344393280766,1000000.0,2000000.0,4000000.0,0.8287332114946027,92224,0.030741333333333332
Flow IAT Mean,3000000.0,212016.24752743368,673889.8043393393,0.0,1.0,1.0,49.0,43008004.0,3.178481895601603,92224,0.030741333333333332
Flow IAT Std,3000000.0,345429.9996497633,1069515.3815938004,0.0,0.0,0.0,56.87119950672162,67368945.52405317,3.09618557356974,2179294,0.7264313333333333
Flow IAT Max,3000000.0,680232.138101,2524298.9650873705,0.0,1.0,1.0,104.0,119907954.0,3.7109375222029892,92224,0.030741333333333332
Flow IAT Min,3000000.0,71.89635866666667,36034.37079736774,0.0,1.0,1.0,1.0,43008004.0,501.19882933060364,249008,0.08300266666666667
Fwd IAT Total,3000000.0,1186247.4230373334,6474360.758927257,0.0,1.0,1.0,52.0,119999991.0,5.457850220108332,102874,0.03429133333333333
Fwd IAT Mean,3000000.0,225421.90584624748,767729.2852110651,0.0,1.0,1.0,49.0,43008004.0,3.405743919735571,102874,0.03429133333333333
Fwd IAT Std,3000000.0,352612.11866670253,1124750.960493101,0.0,0.0,0.0,0.0,67368945.52405317,3.1897683061660156,2257024,0.7523413333333333
Fwd IAT Max,3000000.0,679908.6672063334,2523992.311018241,0.0,1.0,1.0,51.0,119907954.0,3.712252002006434,102874,0.03429133333333333
Fwd IAT Min,3000000.0,70.05046,36045.0690150856,0.0,1.0,1.0,1.0,43008004.0,514.5586340842165,241822,0.08060733333333334
Bwd IAT Total,3000000.0,161120.31998566666,2835147.092766529,0.0,0.0,0.0,0.0,119999946.0,17.596458925967422,2907015,0.969005
Bwd IAT Mean,3000000.0,32875.624729767434,589074.9905888927,0.0,0.0,0.0,0.0,39914726.33333333,17.918290387817127,2907015,0.969005
Bwd IAT Std,3000000.0,56707.404428747235,1022389.0612259057,0.0,0.0,0.0,0.0,69134332.24748993,18.029198682696155,2985043,0.9950143333333333
Bwd IAT Max,3000000.0,118641.15604933334,2080297.3383024049,0.0,0.0,0.0,0.0,119744177.0,17.534365034654236,2907015,0.969005
Bwd IAT Min,3000000.0,0.13429566666666667,2.190819011346487,0.0,0.0,0.0,0.0,157.0,16.31340049467781,2910572,0.9701906666666666
Fwd PSH Flags,3000000.0,0.00025333333333333333,0.015914434956310432,0.0,0.0,0.0,0.0,1.0,62.819890012185866,2999240,0.9997466666666667
Bwd PSH Flags,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000,1.0
Fwd URG Flags,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000,1.0
Bwd URG Flags,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000,1.0
Fwd Header Length,3000000.0,-102898151.171481,1309779208.8492944,-212543795000.0,0.0,40.0,40.0,134480904.0,12.728889624717667,472709,0.15756966666666666
Bwd Header Length,3000000.0,-5665.784144666667,4591467.795830242,-6376313384.0,0.0,0.0,0.0,81968.0,810.3852315220103,2898282,0.966094
Fwd Packets/s,3000000.0,1111472.6269028466,922286.5131750079,0.0,37.68252472915685,1000000.0,2000000.0,4000000.0,0.8297878785777995,92224,0.030741333333333332
Bwd Packets/s,3000000.0,603.9606440393594,6098.640122970658,0.0,0.0,0.0,0.0,2000000.0,10.097744253950294,2898220,0.9660733333333333
Min Packet Length,3000000.0,597.4467226666667,462.9024550411099,0.0,330.0,516.0,548.0,1472.0,0.7748012290940328,90888,0.030296
Max Packet Length,3000000.0,603.4869053333333,460.59218511634555,0.0,375.0,516.0,548.0,3585.0,0.7632181925491429,89189,0.029729666666666668
Packet Length Mean,3000000.0,600.3429329611002,461.11894977812705,0.0,345.6,516.0,548.0,1606.000000000001,0.768092575859867,89189,0.029729666666666668
Packet Length Std,3000000.0,2.5883659749440953,13.982313643360031,0.0,0.0,0.0,0.0,1303.1888064349664,5.401984794001182,2771974,0.9239913333333334
Packet Length Variance,3000000.0,202.20466807317555,7987.266368687005,0.0,0.0,0.0,0.0,1698301.0652173918,39.500899978021295,2771974,0.9239913333333334
FIN Flag Count,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000,1.0
SYN Flag Count,3000000.0,2.9e-05,0.005385087619193355,0.0,0.0,0.0,0.0,1.0,185.68627354895884,2999913,0.999971
RST Flag Count,3000000.0,0.00025333333333333333,0.015914434956310432,0.0,0.0,0.0,0.0,1.0,62.819890012185866,2999240,0.9997466666666667
PSH Flag Count,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000,1.0
ACK Flag Count,3000000.0,0.09879166666666667,0.2983821424636365,0.0,0.0,0.0,0.0,1.0,3.020316890189654,2703625,0.9012083333333333
URG Flag Count,3000000.0,0.000928,0.030448959342584687,0.0,0.0,0.0,0.0,1.0,32.81134324487224,2997216,0.999072
CWE Flag Count,3000000.0,0.000495,0.0222430919594912,0.0,0.0,0.0,0.0,1.0,44.93544853341953,2998515,0.999505
ECE Flag Count,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000,1.0
Down/Up Ratio,3000000.0,0.026834333333333335,0.16678007822604912,0.0,0.0,0.0,0.0,14.0,6.215174788922438,2921113,0.9737043333333333
Average Packet Size,3000000.0,869.1267126000857,702.8196963701129,0.0,432.0,645.0,822.0,2208.0,0.808650437479644,89189,0.029729666666666668
Avg Fwd Segment Size,3000000.0,600.564335094205,461.0135349600892,0.0,349.5,516.0,548.0,2033.0,0.7676338870289502,89254,0.029751333333333334
Avg Bwd Segment Size,3000000.0,0.36721104084147704,11.128732157600265,0.0,0.0,0.0,0.0,1911.090909090909,30.30609347091604,2911511,0.9705036666666667
Fwd Header Length.1,3000000.0,-102898151.171481,1309779208.8492944,-212543795000.0,0.0,40.0,40.0,134480904.0,12.728889624717667,472709,0.15756966666666666
Fwd Avg Bytes/Bulk,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000,1.0
Fwd Avg Packets/Bulk,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000,1.0
Fwd Avg Bulk Rate,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000,1.0
Bwd Avg Bytes/Bulk,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000,1.0
Bwd Avg Packets/Bulk,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000,1.0
Bwd Avg Bulk Rate,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000,1.0
Subflow Fwd Packets,3000000.0,4.341656666666666,221.3200304059878,1.0,2.0,2.0,2.0,99828.0,50.97594014151554,0,0.0
Subflow Fwd Bytes,3000000.0,1972.6052456666666,5237.399491268843,0.0,766.0,1032.0,2444.0,176000.0,2.6550672025087025,89254,0.029751333333333334
Subflow Bwd Packets,3000000.0,0.09856633333333334,2.4990194929810707,0.0,0.0,0.0,0.0,2561.0,25.35368196335519,2898219,0.966073
Subflow Bwd Bytes,3000000.0,10.973905333333333,3860.3294790504106,0.0,0.0,0.0,0.0,4393984.0,351.77353562298856,2911511,0.9705036666666667
Init_Win_bytes_forward,3000000.0,590.0422256666667,1928.6791191447692,-1.0,-1.0,-1.0,-1.0,65535.0,3.2687137212296253,85,2.8333333333333332e-05
Init_Win_bytes_backward,3000000.0,4.865304,461.9410633751558,-1.0,-1.0,-1.0,-1.0,65535.0,94.94598143922966,97387,0.032462333333333336
act_data_pkt_fwd,3000000.0,2.764367666666667,11.88380113761577,0.0,1.0,1.0,1.0,998.0,4.298922056068825,89712,0.029904
min_seg_size_forward,3000000.0,-44368399.479376666,212567902.72867945,-1408237563.0,0.0,14.0,20.0,67240452.0,4.790975226128798,594197,0.19806566666666667
Active Mean,3000000.0,1427.734745142509,66327.35761219982,0.0,0.0,0.0,0.0,19311862.0,46.456358814418934,2967554,0.9891846666666667
Active Std,3000000.0,1631.0275920461684,55878.23837541339,0.0,0.0,0.0,0.0,11863381.812378217,34.25952978838228,2976180,0.99206
Active Max,3000000.0,3632.7039236666665,121522.79647749652,0.0,0.0,0.0,0.0,31236804.0,33.45243626538222,2967554,0.9891846666666667
Active Min,3000000.0,500.46846266666665,55111.76865809762,0.0,0.0,0.0,0.0,19311862.0,110.12036275839081,2967554,0.9891846666666667
Idle Mean,3000000.0,170021.9377646614,1762305.0406710745,0.0,0.0,0.0,0.0,116686439.0,10.365162659835034,2967097,0.9890323333333333
Idle Std,3000000.0,48743.30568326411,603441.3009752635,0.0,0.0,0.0,0.0,46029172.48988081,12.37998310776122,2970981,0.990327
Idle Max,3000000.0,226414.153004,2332366.9196898825,0.0,0.0,0.0,0.0,116686439.0,10.301330057086437,2967097,0.9890323333333333
Idle Min,3000000.0,124154.613173,1389020.9322357522,0.0,0.0,0.0,0.0,116686439.0,11.187831823053132,2967097,0.9890323333333333
