feature,variance,std,mean,zero_ratio,unique_ratio,is_constant,is_near_zero,is_high_zero
Fwd Header Length,1.7155215759338834e+18,1309779208.8492944,-102898151.171481,0.15756966666666666,0.0011856666666666667,False,False,False
Fwd Header Length.1,1.7155215759338834e+18,1309779208.8492944,-102898151.171481,0.15756966666666666,0.0011856666666666667,False,False,False
Flow Bytes/s,8.126352300913898e+17,901462827.9032862,738905705.4058096,0.056924,0.07168633333333334,False,False,False
min_seg_size_forward,4.518511327046933e+16,212567902.72867945,-44368399.479376666,0.19806566666666667,0.0004746666666666667,False,False,False
Flow Duration,41926546854661.8,6475071.185296869,1186836.442614,0.030741333333333332,0.057769,False,False,False
Fwd IAT Total,41917347236737.125,6474360.758927257,1186247.4230373334,0.03429133333333333,0.057291,False,False,False
Bwd Header Length,21081576520146.227,4591467.795830242,-5665.784144666667,0.966094,9.2e-05,False,False,False
Bwd IAT Total,8038059037622.5,2835147.092766529,161120.31998566666,0.969005,0.004961666666666666,False,False,False
Flow IAT Max,6372085265141.169,2524298.9650873705,680232.138101,0.030741333333333332,0.040871333333333336,False,False,False
Fwd IAT Max,6370537186079.201,2523992.311018241,679908.6672063334,0.03429133333333333,0.04033133333333333,False,False,False
Idle Max,5439935448063.671,2332366.9196898825,226414.153004,0.9890323333333333,0.010895,False,False,False
Bwd IAT Max,4327637015748.07,2080297.3383024049,118641.15604933334,0.969005,0.004953666666666667,False,False,False
Idle Mean,3105719056374.6777,1762305.0406710745,170021.9377646614,0.9890323333333333,0.010918666666666667,False,False,False
Idle Min,1929379150189.078,1389020.9322357522,124154.613173,0.9890323333333333,0.010853,False,False,False
Fwd IAT Std,1265064723130.153,1124750.960493101,352612.11866670253,0.7523413333333333,0.127372,False,False,False
Flow IAT Std,1143863151465.7327,1069515.3815938004,345429.9996497633,0.7264313333333333,0.12849166666666667,False,False,False
Bwd IAT Std,1045279392514.3888,1022389.0612259057,56707.404428747235,0.9950143333333333,0.0049496666666666665,False,False,True
Fwd Packets/s,850612412384.514,922286.5131750079,1111472.6269028466,0.030741333333333332,0.06453966666666666,False,False,False
Flow Packets/s,849373842944.2062,921614.8018256902,1112076.587546886,0.030741333333333332,0.06463933333333333,False,False,False
Fwd IAT Mean,589408255370.693,767729.2852110651,225421.90584624748,0.03429133333333333,0.06754766666666667,False,False,False
Flow IAT Mean,454127468392.5129,673889.8043393393,212016.24752743368,0.030741333333333332,0.06815133333333333,False,False,False
Idle Std,364141403722.7185,603441.3009752635,48743.30568326411,0.990327,0.009646333333333333,False,False,True
Bwd IAT Mean,347009344537.304,589074.9905888927,32875.624729767434,0.969005,0.004969,False,False,False
