feature,mi_score,mi_rank
Packet Length Mean,1.8161106715268656,1
Fwd Packet Length Min,1.8120131525669796,2
Fwd Packet Length Mean,1.811951808633166,3
Avg Fwd Segment Size,1.8117094679565964,4
Min Packet Length,1.8112092686110914,5
Max Packet Length,1.8111019686359704,6
Fwd Packet Length Max,1.8100589512643293,7
Average Packet Size,1.7779411402199448,8
Subflow Fwd Bytes,1.7511134179425882,9
Total Length of Fwd Packets,1.7510905414876943,10
Flow Bytes/s,1.712429449958734,11
Fwd Packets/s,0.6436254700292934,12
Flow Packets/s,0.6379810124706373,13
Flow IAT Mean,0.5999109909288909,14
Flow Duration,0.5943173748838655,15
Flow IAT Max,0.575909361070909,16
Fwd IAT Mean,0.5491168270660096,17
Fwd IAT Total,0.5474856691737933,18
Fwd Header Length,0.5398309619141104,19
Fwd Header Length.1,0.539558073990257,20
Fwd IAT Max,0.536958924000098,21
Flow IAT Std,0.5159514138385459,22
Fwd IAT Std,0.4587694269239875,23
act_data_pkt_fwd,0.36429709881931194,24
min_seg_size_forward,0.33448056398376913,25
Init_Win_bytes_forward,0.329059595029225,26
ACK Flag Count,0.3210670097479684,27
Subflow Fwd Packets,0.2970046089746017,28
Total Fwd Packets,0.2965910185513252,29
Packet Length Std,0.18881201854744267,30
Packet Length Variance,0.18817230075591018,31
Fwd Packet Length Std,0.18433413823318512,32
Fwd IAT Min,0.14587906593889644,33
Flow IAT Min,0.1453112786227555,34
Bwd Packets/s,0.08715180385534183,35
Bwd Header Length,0.08596221942904059,36
Subflow Bwd Packets,0.08432614752571999,37
Init_Win_bytes_backward,0.0842117136654088,38
Total Backward Packets,0.08410230369741845,39
Bwd Packet Length Mean,0.0790530685081805,40
Bwd Packet Length Min,0.07825102891183189,41
Subflow Bwd Bytes,0.0782485122709291,42
Total Length of Bwd Packets,0.078197593281498,43
Avg Bwd Segment Size,0.07798587390031209,44
Bwd IAT Total,0.07784380597525997,45
Bwd IAT Max,0.07763458518426836,46
Bwd Packet Length Max,0.07755552490541229,47
Bwd IAT Mean,0.07729379084322874,48
Bwd IAT Min,0.07262741738875222,49
Down/Up Ratio,0.0662966550381241,50
Idle Max,0.02634872563276014,51
Idle Min,0.026153009514618297,52
Idle Mean,0.025492320143126967,53
Active Max,0.025175347709672113,54
Active Min,0.024977960630856,55
Active Mean,0.024502567661965458,56
Idle Std,0.023164762181576037,57
Active Std,0.01894288823889223,58
Bwd IAT Std,0.012094907999372406,59
URG Flag Count,0.004319596920969282,60
CWE Flag Count,0.0026392423673646803,61
RST Flag Count,0.0018546516994439877,62
Fwd PSH Flags,0.0014081553260640867,63
Bwd Packet Length Std,0.0012684297229164088,64
Fwd Avg Packets/Bulk,0.0008712197596993931,65
Fwd URG Flags,0.00046277798904936773,66
Bwd Avg Bulk Rate,0.00038674736059363113,67
SYN Flag Count,0.0003382187268003989,68
ECE Flag Count,0.0003201459928892092,69
Fwd Avg Bytes/Bulk,0.00031962096513193927,70
Bwd Avg Packets/Bulk,0.00023629230750144004,71
PSH Flag Count,0.0001111192444707143,72
Bwd PSH Flags,9.185649529674933e-05,73
Fwd Avg Bulk Rate,5.624757332878261e-05,74
Bwd URG Flags,0.0,75
FIN Flag Count,0.0,76
Bwd Avg Bytes/Bulk,0.0,77
