feature,mi_score,mi_rank,f_score,p_value,anova_rank,is_significant,variance,zero_ratio,is_constant,is_near_zero,is_high_zero,mi_rank_norm,anova_rank_norm,combined_score,final_rank,is_redundant,recommend_drop,recommend_keep
Packet Length Mean,1.8161106715268656,1,1539225.7138413608,0.0,4,True,212630.68584448285,0.029729666666666668,False,False,False,1.0,0.961038961038961,0.9844155844155844,1,False,False,True
Fwd Packet Length Mean,1.811951808633166,3,1540674.2172236058,0.0,3,True,212533.4794163974,0.029751333333333334,False,False,False,0.974025974025974,0.974025974025974,0.974025974025974,2,True,True,False
Avg Fwd Segment Size,1.8117094679565964,4,1540674.2172236058,0.0,2,True,212533.4794163974,0.029751333333333334,False,False,False,0.961038961038961,0.987012987012987,0.9714285714285714,3,True,True,False
Fwd Packet Length Min,1.8120131525669796,2,1524129.9746310087,0.0,6,True,214281.94054838314,0.030255,False,False,False,0.987012987012987,0.935064935064935,0.9662337662337662,4,True,True,False
Min Packet Length,1.8112092686110914,5,1524987.1171171654,0.0,5,True,214278.68288308673,0.030296,False,False,False,0.948051948051948,0.948051948051948,0.948051948051948,5,True,True,False
Max Packet Length,1.8111019686359704,6,1456728.6609601248,0.0,9,True,212145.16099024992,0.029729666666666668,False,False,False,0.935064935064935,0.8961038961038961,0.9194805194805195,6,True,True,False
Fwd Packet Length Max,1.8100589512643293,7,1516663.8750325101,0.0,8,True,211539.2756468599,0.029751333333333334,False,False,False,0.922077922077922,0.9090909090909091,0.9168831168831169,7,True,True,False
Average Packet Size,1.7779411402199448,8,1517529.1071614441,0.0,7,True,493955.52560577757,0.029729666666666668,False,False,False,0.9090909090909091,0.922077922077922,0.9142857142857143,8,True,True,False
Subflow Fwd Bytes,1.7511134179425882,9,136974.25762016402,0.0,13,True,27430353.43114314,0.029751333333333334,False,False,False,0.8961038961038961,0.8441558441558441,0.8753246753246753,9,False,False,True
Total Length of Fwd Packets,1.7510905414876943,10,136974.25762016402,0.0,12,True,27430353.43114314,0.029751333333333334,False,False,False,0.8831168831168831,0.8571428571428572,0.8727272727272728,10,True,True,False
Flow Bytes/s,1.712429449958734,11,260537.58357211453,0.0,11,True,8.126352300913898e+17,0.056924,False,False,False,0.8701298701298701,0.8701298701298701,0.8701298701298701,11,False,False,True
Fwd Packets/s,0.6436254700292934,12,38541.60269584565,0.0,20,True,850612412384.514,0.030741333333333332,False,False,False,0.8571428571428572,0.7532467532467533,0.8155844155844156,12,False,False,True
Flow Packets/s,0.6379810124706373,13,38521.16283855886,0.0,21,True,849373842944.2062,0.030741333333333332,False,False,False,0.8441558441558441,0.7402597402597403,0.8025974025974025,13,True,True,False
ACK Flag Count,0.3210670097479684,27,4399607.801575093,0.0,1,True,0.08903190294118986,0.9012083333333333,False,False,False,0.6623376623376623,1.0,0.7974025974025973,14,False,False,True
Flow IAT Mean,0.5999109909288909,14,29880.646257322966,0.0,23,True,454127468392.5129,0.030741333333333332,False,False,False,0.8311688311688312,0.7142857142857143,0.7844155844155845,15,False,False,True
Init_Win_bytes_forward,0.329059595029225,26,689121.9941230968,0.0,10,True,3719803.1446250426,2.8333333333333332e-05,False,False,False,0.6753246753246753,0.8831168831168831,0.7584415584415585,16,False,False,True
act_data_pkt_fwd,0.36429709881931194,24,133519.0153588383,0.0,14,True,141.22472947839788,0.029904,False,False,False,0.7012987012987013,0.8311688311688312,0.7532467532467533,17,True,True,False
Flow IAT Std,0.5159514138385459,22,31726.60847488184,0.0,22,True,1143863151465.7327,0.7264313333333333,False,False,False,0.7272727272727273,0.7272727272727273,0.7272727272727273,18,True,True,False
Fwd IAT Mean,0.5491168270660096,17,25876.95660867285,0.0,30,True,589408255370.693,0.03429133333333333,False,False,False,0.7922077922077921,0.6233766233766234,0.7246753246753246,19,True,True,False
Flow IAT Max,0.575909361070909,16,22234.166129543642,0.0,32,True,6372085265141.169,0.030741333333333332,False,False,False,0.8051948051948052,0.5974025974025974,0.7220779220779221,20,True,True,False
Fwd IAT Std,0.4587694269239875,23,29595.031461095477,0.0,24,True,1265064723130.153,0.7523413333333333,False,False,False,0.7142857142857143,0.7012987012987013,0.7090909090909091,21,True,True,False
Flow Duration,0.5943173748838655,15,14731.261588313258,0.0,39,True,41926546854661.8,0.030741333333333332,False,False,False,0.8181818181818181,0.5064935064935066,0.6935064935064935,22,False,False,True
Packet Length Std,0.18881201854744267,30,53385.15826148345,0.0,18,True,195.5050948212921,0.9239913333333334,False,False,False,0.6233766233766234,0.7792207792207793,0.6857142857142857,23,False,False,True
